"FUN_80008c08","80008c08","Function","Global","Default","0","0"
"FUN_8000ac6c","8000ac6c","Function","Global","Default","1","0"
"FUN_8000af70","8000af70","Function","Global","Default","1","0"
"FUN_8000b03c","8000b03c","Function","Global","Default","1","0"
"FUN_8000b068","8000b068","Function","Global","Default","0","0"
"FUN_8000c3c8","8000c3c8","Function","Global","Default","1","0"
"FUN_8000c458","8000c458","Function","Global","Default","1","0"
"FUN_8000c4a4","8000c4a4","Function","Global","Default","2","0"
"FUN_8000c588","8000c588","Function","Global","Default","1","0"
"FUN_8000c5dc","8000c5dc","Function","Global","Default","1","0"
"FUN_8000cbd8","8000cbd8","Function","Global","Default","1","0"
"FUN_8000cc40","8000cc40","Function","Global","Default","1","0"
"FUN_8000cd04","8000cd04","Function","Global","Default","1","0"
"FUN_8000d010","8000d010","Function","Global","Default","1","0"
"FUN_8000d020","8000d020","Function","Global","Default","1","0"
"FUN_8000d228","8000d228","Function","Global","Default","1","0"
"FUN_8000d440","8000d440","Function","Global","Default","1","0"
"FUN_8000d7d8","8000d7d8","Function","Global","Default","1","0"
"FUN_8000d970","8000d970","Function","Global","Default","0","0"
"FUN_8000f9d8","8000f9d8","Function","Global","Default","1","0"
"FUN_8000fa68","8000fa68","Function","Global","Default","1","0"
"FUN_8000fce4","8000fce4","Function","Global","Default","1","0"
"FUN_8000fecc","8000fecc","Function","Global","Default","4","0"
"FUN_800102b0","800102b0","Function","Global","Default","3","0"
"FUN_80010408","80010408","Function","Global","Default","2","0"
"FUN_80010520","80010520","Function","Global","Default","5","0"
"FUN_80010664","80010664","Function","Global","Default","0","0"
"FUN_800115dc","800115dc","Function","Global","Default","0","0"
"FUN_800123a4","800123a4","Function","Global","Default","2","0"
"FUN_800133dc","800133dc","Function","Global","Default","1","0"
"FUN_80013784","80013784","Function","Global","Default","2","0"
"FUN_80014110","80014110","Function","Global","Default","5","0"
"FUN_80014188","80014188","Function","Global","Default","7","0"
"FUN_800141c0","800141c0","Function","Global","Default","6","0"
"FUN_80014378","80014378","Function","Global","Default","6","0"
"FUN_800143e4","800143e4","Function","Global","Default","9","0"
